welshWord,englishWord,gender,welshSent,englishSent
tatws,potato,Masculine,Dwi'n bwyta tatws gyda cinio.,I eat potatoes with dinner.
merch,girl,Feminine,Mae'r ferch yn darllen llyfr.,The girl is reading a book.
bara,bread,Masculine,Dwi'n prynu bara yn y siop.,I buy bread in the shop.
dynes,woman,Feminine,Mae'r dynes yn cerdded yn y parc.,The woman is walking in the park.
afal,apple,Masculine,Mae'r plentyn yn bwyta afal.,The child is eating an apple.
mam,mother,Feminine,Mae fy mam yn coginio cinio.,My mother is cooking dinner.
llefrith,milk,Masculine,Dwi'n mwynhau llefrith yn fy coffi.,I enjoy milk in my coffee.
chwaer,sister,Feminine,Mae fy chwaer yn gweithio mewn ysgol.,My sister works in a school.
caws,cheese,Masculine,Rwy'n hoffi creision caws a nionyn.,I like cheese and onion crisps.
d_r,water,Masculine,Rydym angeni yfed mwy o dd_r.,We need to drink more water.
buwch,cow,Feminine,Mae'r fuwch yn sefyll yn y cae.,The cow is standing in the field.
te,tea,Masculine,Rwy'n yfed paned o de yn y bore.,I drink a cup of tea in the morning.
cyw iēr,chicken,Feminine,Mae'r cyw iēr yn rhedeg yn yr iard.,The chicken is running in the yard.
gÉm,game,Masculine,Mae'r gÉm yn hwyl.,The game is fun.
coffi,coffee,Masculine,Mae hi'n yfed coffi yn y swyddfa.,She drinks coffee in the office.
dysgu,learning,Feminine,Mae dysgu yn bwysig.,Learning is important.
cath,cat,Masculine,Mae'r gath yn cysgu ar y soffa.,The cat is sleeping on the sofa.
llythyr,letter,Feminine,Derbyniais lythyr ddoe.,I received a letter yesterday.
ci,dog,Masculine,Mae'r ci yn chwarae yn yr ardd.,The dog is playing in the garden.
map,map,Feminine,Mae'r map yn dangos y ffordd.,The map shows the way.
ceffyl,horse,Masculine,Mae'r ceffyl yn rhedeg yn y cae.,The horse is running in the field.
llun,picture,Feminine,Mae'r llun ar y wal.,The picture is on the wall.
adar,bird,Masculine,Mae'r adar yn canu yn y bore.,The birds sing in the morning.
gwely,bed,Feminine,Mae'r gwely yn ystafell wely.,The bed is in the bedroom.
t_,house,Masculine,Mae'r t_ yn fawr.,The house is big.
lamp,lamp,Feminine,Mae'r lamp ar y bwrdd.,The lamp is on the table.
ysgol,school,Masculine,Mae'r plant yn mynd i'r ysgol.,The children go to school.
plēt,plate,Feminine,Mae'r bwyd ar y plēt.,The food is on the plate.
bwrdd,table,Masculine,Mae'r llyfr ar y bwrdd.,The book is on the table.
cwpan,cup,Feminine,Mae'r cwpan yn llawn te.,The cup is full of tea.